EL_CYCLE,FROM_STMT,TO_STMT,OFFICE,CAND_NAME,CAND_ID,BORO_DIST,TERMND,CNTRS_NO,CNTNS_NO,NET_CNTNS,MATCH_AMT,I_NO,I_CNTNS_NO,I_AMT,SML_NO,SML_AMT,PUBFND_PMT,NET_EXPND,CAND_CLASS,MAX_NO,MAX_AMT,LIMIT,NAME_1
2001,1,15,5,"Gennaro, James (ID:283-P)",283,24,false,473,621,115341,37953,0,0,0,364,42700,146314,250311,P,7,17500,2500,25585
2001,1,15,5,"Gerson, Alan (ID:268-P)",268,1,false,641,894,174192,61525,13,48,9879,481,49148,165783,343129,P,13,37215,2500,8002
2001,1,15,5,"Gioia, Eric (ID:418-P)",418,26,false,544,634,122677,40506,4,11,720,437,39381,148266,248241,P,8,25000,2500,63343
2001,1,15,5,"Golden, Martin (ID:C0-P)",C0,43,false,587,952,222155,77953,3,45,12250,364,53450,75350,296650,P,12,30000,2500,6153
2001,1,15,5,"Golub, Jay (ID:503-P)",503,2,false,198,215,14046,6990,0,0,0,188,6900,19900,29040,P,1,2500,2500,7395
2001,1,15,5,"Gonzalez-Jarrin, Aida (ID:363-P)",363,21,false,321,443,39211,20507,0,0,0,291,22906,71940,114841,P,1,5460,2500,1360
2001,1,15,5,"Gotlieb, Brian (ID:421-P) *",421,47,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Gottlieb, Jeff (ID:269-P) *",269,24,true,351,355,37756,27320,0,0,0,343,35056,0,8009,P,0,0,2500,0
2001,1,15,5,"Graziano, Paul (ID:343-P)",343,20,false,105,111,7576,7271,0,0,0,104,7576,27320,34869,P,0,0,2500,1349
2001,1,15,5,"Greco, Jr., Rudolph (ID:324-P)",324,25,false,326,580,44224,35316,0,0,0,300,32836,75350,105649,P,0,0,2500,0
2001,1,15,5,"Greenwood, Doreen (ID:533-P)",533,46,false,220,238,37625,22925,0,0,0,209,24095,78932,125286,P,1,7250,2500,18041
2001,1,15,5,"Grodenchik, Barry (ID:238-P)",238,24,false,386,484,97960,38178,2,18,8410,310,37180,147626,180463,P,4,10000,2500,0
2001,1,15,5,"Gutnik, Oleg (ID:455-P)",455,47,false,251,287,58332,34352,0,0,0,210,33002,90908,185406,P,1,7500,2500,125
2001,1,15,5,"Haber, Jason (ID:431-P)",431,6,false,118,133,48404,6160,0,0,0,91,5775,0,48337,P,10,29300,2500,0
2001,1,15,5,"Hammerman, Craig (ID:308-P)",308,39,false,335,392,32805,26522,0,0,0,324,27592,75350,88493,P,0,0,2500,351
2001,1,15,5,"Heaphy, Joe (ID:344-P) *",344,26,true,410,460,38239,20834,1,2,50,396,29164,0,17401,P,0,0,2500,0
2001,1,15,5,"Hernandez, Louis (ID:570-P)",570,37,false,320,383,22782,14323,0,0,0,298,18482,10976,66286,P,0,0,2500,14398
2001,1,15,5,"Herschaft, Allen (ID:307-NP)",307,48,false,0,0,0,0,0,0,0,0,0,0,0,NP,0,0,2500,0
2001,1,15,5,"Herz, David (ID:552-P)",552,6,false,26,26,2700,1690,0,0,0,25,1700,0,2351,P,0,0,2500,0
2001,1,15,5,"Hikind, Libby (ID:212-P)",212,50,false,328,426,65241,33041,0,0,0,287,31341,124753,167502,P,2,12764,2500,21234
2001,1,15,5,"Hochhauser, Joseph (ID:502-P)",502,47,false,132,149,12767,6375,0,0,0,127,6767,25020,37686,P,1,2500,2500,0
2001,1,15,5,"Hodge, Allen (ID:FM-P) *",FM,7,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Howell, Carol (ID:423-P)",423,31,false,96,108,3377,3032,0,0,0,96,3377,0,3154,P,0,0,2500,0
2001,1,15,5,"Hoylman, Brad (ID:296-P)",296,1,false,813,1052,243950,50805,7,18,12250,608,62380,91333,330149,P,26,71350,2500,27916
2001,1,15,5,"Hughes, Michael (ID:579-P)",579,7,false,91,96,5430,4755,0,0,0,80,3630,0,4797,P,0,0,2500,7800
2001,1,15,5,"Hui, Kwong (ID:336-P)",336,1,false,440,567,53767,31605,0,0,0,411,30770,142973,195599,P,1,2500,2500,0
2001,1,15,5,"Hunter, Robert (ID:KN-P)",KN,35,false,143,167,8146,6760,0,0,0,140,6806,0,1193,P,0,0,2500,0
2001,1,15,5,"Hylton, Christian (ID:388-P)",388,45,false,231,241,52325,17215,3,45,18996,186,17197,51732,92262,P,1,2500,2500,3175
2001,1,15,5,"Iannece, Jerry (ID:DE-P)",DE,19,false,183,204,35500,27800,0,0,0,166,25950,104602,129503,P,0,0,2500,0
2001,1,15,5,"Imprescia, Richard (ID:593-P)",593,11,false,52,56,3125,1625,0,0,0,51,2725,0,1448,P,0,0,2500,0
2001,1,15,5,"Jackson, Gregory (ID:548-P)",548,42,false,193,206,41030,11755,0,0,0,149,12655,0,34981,P,4,10000,2500,54088
2001,1,15,5,"Jackson, Robert (ID:484-P)",484,7,false,495,575,73149,30109,3,60,2857,447,34016,107262,157453,P,7,17500,2500,31377
2001,1,15,5,"James, Letitia (ID:480-P)",480,35,false,527,657,98180,41715,1,4,850,464,40875,147994,174973,P,8,22500,2500,128168
2001,1,15,5,"Jannaccio, Richard (ID:460-P)",460,20,false,100,137,12295,9035,0,0,0,90,8485,28736,27226,P,0,0,2500,160
2001,1,15,5,"Jefferson, Charlotte (ID:410-P)",410,31,false,236,279,72084,15555,0,0,0,206,16920,53273,81300,P,1,43204,2500,18793
2001,1,15,5,"Jeffries-El, Joseph (ID:499-P)",499,42,false,133,159,18295,9200,0,0,0,127,9415,0,56505,P,1,7500,2500,18039
2001,1,15,5,"Jenkins, Cynthia (ID:CZ-P)",CZ,27,false,45,48,1825,1475,0,0,0,45,1825,0,575,P,0,0,2500,0
2001,1,15,5,"Jenkins, Patrick (ID:427-P)",427,28,false,107,124,21848,8365,0,0,0,95,8848,0,5762,P,2,7500,2500,0
2001,1,15,5,"Jennings, Allan (ID:ER-P)",ER,28,false,231,252,19113,17233,0,0,0,205,16313,41344,31155,P,0,0,2500,23891
2001,1,15,5,"Jimenez, Daniel (ID:291-P) *",291,21,true,184,232,10129,7224,0,0,0,182,9044,0,2106,P,0,0,2500,0
2001,1,15,5,"Jodha, Rameshwar (ID:IM-P)",IM,28,false,147,153,23604,23430,0,0,0,141,22155,0,36374,P,0,0,2500,653
2001,1,15,5,"Jones, Barbara (ID:594-P) *",594,18,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Jorge, Chris (ID:354-P)",354,32,false,146,156,23253,13078,0,0,0,143,13253,45580,20174,P,2,10000,2500,0
2001,1,15,5,"Joyce, Adrian (ID:547-P) *",547,20,true,156,158,21750,11730,0,0,0,145,12650,0,21644,P,1,2500,2500,0
2001,1,15,5,"Kann, Jerry (ID:492-P)",492,22,false,82,94,2388,2309,0,0,0,82,2388,0,2148,P,0,0,2500,0
2001,1,15,5,"Katz, Melinda (ID:264-P)",264,29,false,496,717,156378,46889,2,15,4250,364,39918,150700,212040,P,7,19500,2500,0
2001,1,15,5,"Kaufman, Jordan (ID:392-P)",392,1,false,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Kearney, Michael (ID:409-P)",409,26,false,214,315,59895,23410,0,0,0,168,21820,75350,134711,P,2,5500,2500,0
2001,1,15,5,"Kinard, Stanley (ID:HP-P)",HP,36,false,9,9,1010,1010,0,0,0,9,1010,0,555,P,0,0,2500,0
2001,1,15,5,"Kirkland, Dwayne (ID:534-P) *",534,28,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Koppell, G. Oliver (ID:459-P)",459,11,false,334,425,74275,39671,1,2,450,271,36625,148090,205963,P,0,0,2500,32
2001,1,15,5,"Lanza, Andrew (ID:546-P)",546,51,false,240,325,43185,27945,0,0,0,212,25480,110891,139725,P,2,5000,2500,14351
2001,1,15,5,"Larson, Carl (ID:512-P) *",512,51,true,0,0,0,0,0,0,0,0,0,0,1514,P,0,0,2500,0
2001,1,15,5,"Lasher, Susan (ID:518-P)",518,47,false,195,225,46989,13809,3,17,2075,176,15867,53976,93724,P,7,22250,2500,12410
2001,1,15,5,"Lepore, Louis (ID:519-P) *",519,51,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Lesczynski, James (ID:424-P)",424,5,false,12,16,1951,700,0,0,0,11,775,0,1951,P,0,0,2500,0
2001,1,15,5,"Levine, Mark (ID:311-P)",311,7,false,441,475,112409,24389,0,0,0,375,28794,73320,185866,P,23,59005,2500,553
2001,1,15,5,"Levy, Abraham (ID:333-P)",333,46,false,171,193,34154,18011,0,0,0,143,15397,55412,113613,P,1,5000,2500,0
2001,1,15,5,"Lewis, Anna (ID:298-P)",298,6,false,252,365,42828,21833,0,0,0,214,19578,77112,149459,P,0,0,2500,790
2001,1,15,5,"Lewis, Edward (ID:KA-P)",KA,31,false,149,163,8881,7976,0,0,0,146,8196,30720,39967,P,0,0,2500,0
2001,1,15,5,"Lewis, Prince (ID:574-P)",574,42,false,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Lewis, S. Terry (ID:536-P) *",536,25,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Liu, John (ID:FI-P)",FI,20,false,718,867,210650,52030,0,0,0,498,43655,150520,359064,P,1,3200,2500,0
2001,1,15,5,"Lizardo, Roberto (ID:C8-P)",C8,10,false,316,354,57270,30560,0,0,0,276,28550,75350,140449,P,2,9300,2500,0
2001,1,15,5,"Lobo, Renee (ID:473-P)",473,29,false,221,230,28789,13535,0,0,0,206,18787,52672,76103,P,1,2500,2500,0
2001,1,15,5,"Lopez, Margarita (ID:BH-P)",BH,2,false,533,599,62619,39622,0,0,0,504,40519,143682,201395,P,2,5000,2500,0
2001,1,15,5,"Love, Sandra (ID:LY-P) *",LY,18,true,88,96,2991,2731,3,46,1225,88,2991,0,2627,P,0,0,2500,0
2001,1,15,5,"Luciano, Felipe (ID:472-P)",472,8,false,247,268,51664,15585,2,2,330,204,13495,47720,94890,P,4,10000,2500,8221
2001,1,15,5,"Lutz, Alex (ID:407-P) *",407,32,true,94,96,9239,6409,0,0,0,90,7614,0,8819,P,0,0,2500,0
2001,1,15,5,"Macron, John (ID:463-P) *",463,32,true,115,119,18050,10040,0,0,0,107,10875,0,20076,P,0,0,2500,0
2001,1,15,5,"Mandell, Linda (ID:389-P) *",389,20,true,86,89,5456,4498,0,0,0,85,4290,0,2303,P,0,0,2500,183
2001,1,15,5,"Marchant, Garth (ID:KJ-P)",KJ,28,false,411,414,39536,38390,0,0,0,386,37585,110086,150854,P,0,0,2500,63018
2001,1,15,5,"Marcial, Edwin (ID:FQ-P) *",FQ,8,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Martin, Yolanda (ID:509-P)",509,37,false,37,42,4167,1920,0,0,0,36,2290,0,1260,P,0,0,2500,0
2001,1,15,5,"Martinez, George (ID:415-P)",415,38,false,359,437,25775,19148,0,0,0,332,16246,0,31415,P,0,0,2500,17488
2001,1,15,5,"Martinez, Israel (ID:F3-P) *",F3,14,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Martinez, Juan (ID:MJ-P)",MJ,34,false,459,556,83330,45845,0,0,0,379,45705,75350,168675,P,2,5000,2500,3185
2001,1,15,5,"Martinez, Miguel (ID:223-P)",223,10,false,479,624,104605,46155,3,38,3100,399,49305,128786,231295,P,7,17500,2500,0
2001,1,15,5,"Mascitti, Michael (ID:580-P)",580,22,false,41,49,2960,2470,0,0,0,40,2690,0,2978,P,0,0,2500,0
2001,1,15,5,"Mateo, Heriberto (ID:FA-P)",FA,37,false,163,230,28502,19075,0,0,0,147,18840,68040,87972,P,1,3289,2500,20295
2001,1,15,5,"Mattera, Gloria (ID:440-P)",440,39,false,223,269,9629,8779,0,0,0,220,8489,31704,40357,P,0,0,2500,0
2001,1,15,5,"May, Jr., Abraham (ID:590-P) *",590,35,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"McCleary, Michelle (ID:572-P)",572,9,false,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"McKay, Ed (ID:544-P)",544,27,false,55,64,4249,3822,0,0,0,52,2810,0,5613,P,0,0,2500,0
2001,1,15,5,"McMahon, Michael (ID:271-P)",271,49,false,1001,1410,179450,103719,1,3,1000,854,100944,150700,329527,P,3,7575,2500,0
2001,1,15,5,"Mendolia, Victor (ID:520-P) *",520,3,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Michaels, Joel (ID:73-P) *",73,47,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Miller, David (ID:F8-P) *",F8,41,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Miller, Robert (ID:49-P)",49,44,false,440,477,82559,35034,4,12,4000,408,49309,135118,218073,P,5,15000,2500,0
2001,1,15,5,"Miranda, Anthony (ID:312-P)",312,34,false,201,210,30506,11336,0,0,0,177,16526,0,29620,P,3,7500,2500,6563
2001,1,15,5,"Monserrate, Hiram (ID:272-P)",272,21,false,523,655,88606,32587,7,55,4670,476,34602,74430,155171,P,8,28755,2500,7354
2001,1,15,5,"Montano, Armando (ID:F5-P)",F5,18,false,325,335,75900,19010,0,0,0,287,30725,90883,161678,P,7,25200,2500,8584
2001,1,15,5,"Moran, Janey (ID:495-P)",495,51,false,262,392,29660,15225,0,0,0,243,15497,56284,79030,P,1,2500,2500,0
2001,1,15,5,"Morgan, Ishmael (ID:D0-P)",D0,27,false,143,163,7757,6785,0,0,0,139,6837,21800,29417,P,0,0,2500,62
2001,1,15,5,"Morillo, Pedro (ID:555-P)",555,7,false,206,190,8709,7839,0,0,0,184,7709,0,12349,P,0,0,2500,28935
2001,1,15,5,"Morisete-Romero, Victor (ID:367-P)",367,10,false,397,532,84723,24345,0,0,0,334,27735,75350,166050,P,4,13848,2500,0
2001,1,15,5,"Moskowitz, Eva (ID:BW-P)",BW,4,false,617,777,207500,68734,4,8,5600,466,43684,150500,351607,P,20,50000,2500,4872
2001,1,15,5,"Munn, Alan (ID:331-NP)",331,29,false,0,0,0,0,0,0,0,0,0,0,0,NP,0,0,2500,0
2001,1,15,5,"Nelson, Michael (ID:207-P)",207,48,false,142,153,27187,17937,0,0,0,130,19237,63168,90131,P,0,0,2500,0
2001,1,15,5,"Norman, Edward (ID:267-P)",267,34,false,328,426,107417,20404,0,0,0,294,23949,65496,95201,P,2,69161,2500,0
2001,1,15,5,"Norman, Michael (ID:576-P) *",576,4,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Oddo, James (ID:214-P)",214,50,false,381,496,88235,37215,1,17,3300,325,32185,75350,163077,P,9,25000,2500,0
2001,1,15,5,"O'Malley, Patrick (ID:542-P)",542,26,false,302,337,43593,20070,0,0,0,278,26220,68724,110618,P,3,7500,2500,10756
2001,1,15,5,"Ortiz, Jr., Edwin (ID:278-P)",278,15,false,235,238,14419,13540,0,0,0,183,13640,46752,5888,P,0,0,2500,55970
2001,1,15,5,"Padernacht, Daniel (ID:571-P) *",571,14,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Palmer, Samuel (ID:247-P)",247,45,false,502,785,61395,38902,0,0,0,454,36637,75350,135600,P,2,5000,2500,0
